Date,Amount
2018-02-01 0:00:00,618
2018-02-02 0:00:00,953
2018-02-03 0:00:00,392
2018-02-04 0:00:00,300
2018-02-05 0:00:00,1811
2018-02-06 0:00:00,1051
2018-02-07 0:00:00,1359
2018-02-08 0:00:00,1188
2018-02-09 0:00:00,1130
2018-02-10 0:00:00,279
2018-02-11 0:00:00,198
2018-02-12 0:00:00,1395
2018-02-13 0:00:00,1091
2018-02-14 0:00:00,867
2018-02-15 0:00:00,1533
2018-02-16 0:00:00,919
2018-02-17 0:00:00,168
2018-02-18 0:00:00,354
2018-02-19 0:00:00,1065
2018-02-20 0:00:00,1387
2018-02-21 0:00:00,1203
2018-02-22 0:00:00,996
2018-02-23 0:00:00,1143
2018-02-24 0:00:00,390
2018-02-25 0:00:00,574
2018-02-26 0:00:00,1738
2018-02-27 0:00:00,2218
2018-02-28 0:00:00,2652
2018-03-01 0:00:00,1903
2018-03-02 0:00:00,1067
2018-03-03 0:00:00,306
2018-03-04 0:00:00,313
2018-03-05 0:00:00,1670
2018-03-06 0:00:00,1625
2018-03-07 0:00:00,1435
2018-03-08 0:00:00,2085
2018-03-09 0:00:00,1552
2018-03-10 0:00:00,604
2018-03-11 0:00:00,250
2018-03-12 0:00:00,1543
2018-03-13 0:00:00,1264
2018-03-14 0:00:00,1813
2018-03-15 0:00:00,1481
2018-03-16 0:00:00,1055
2018-03-17 0:00:00,223
2018-03-18 0:00:00,288
2018-03-19 0:00:00,1659
2018-03-20 0:00:00,1478
2018-03-21 0:00:00,1999
2018-03-22 0:00:00,1487
2018-03-23 0:00:00,1313
2018-03-24 0:00:00,242
2018-03-25 0:00:00,407
2018-03-26 0:00:00,1310
2018-03-27 0:00:00,2156
2018-03-28 0:00:00,1389
2018-03-29 0:00:00,1015
2018-03-30 0:00:00,1104
2018-03-31 0:00:00,220
2018-04-01 0:00:00,186
2018-04-02 0:00:00,1639
2018-04-03 0:00:00,1626
2018-04-04 0:00:00,1647
2018-04-05 0:00:00,1380
2018-04-06 0:00:00,1560
2018-04-07 0:00:00,83
2018-04-08 0:00:00,553
2018-04-09 0:00:00,1655
2018-04-10 0:00:00,1387
2018-04-11 0:00:00,1732
2018-04-12 0:00:00,1852
2018-04-13 0:00:00,1062
2018-04-14 0:00:00,95
2018-04-15 0:00:00,258
2018-04-16 0:00:00,2014
2018-04-17 0:00:00,1855
2018-04-18 0:00:00,1410
2018-04-19 0:00:00,1402
2018-04-20 0:00:00,1240
2018-04-21 0:00:00,150
2018-04-22 0:00:00,117
2018-04-23 0:00:00,1687
2018-04-24 0:00:00,2744
2018-04-25 0:00:00,1845
2018-04-26 0:00:00,1338
2018-04-27 0:00:00,920
2018-04-28 0:00:00,87
2018-04-29 0:00:00,169
2018-04-30 0:00:00,732
2018-05-01 0:00:00,1282
2018-05-02 0:00:00,1239
2018-05-03 0:00:00,1122
2018-05-04 0:00:00,756
2018-05-05 0:00:00,194
2018-05-06 0:00:00,171
2018-05-07 0:00:00,850
2018-05-08 0:00:00,1093
2018-05-09 0:00:00,1090
2018-05-10 0:00:00,1248
2018-05-11 0:00:00,1540
2018-05-12 0:00:00,162
2018-05-13 0:00:00,192
2018-05-14 0:00:00,1190
2018-05-15 0:00:00,1211
2018-05-16 0:00:00,1632
2018-05-17 0:00:00,1192
2018-05-18 0:00:00,856
2018-05-19 0:00:00,123
2018-05-20 0:00:00,147
2018-05-21 0:00:00,1300
2018-05-22 0:00:00,1503
2018-05-23 0:00:00,1489
2018-05-24 0:00:00,1799
2018-05-25 0:00:00,745
2018-05-26 0:00:00,109
2018-05-27 0:00:00,126
2018-05-28 0:00:00,183
2018-05-29 0:00:00,688
2018-05-30 0:00:00,816
2018-05-31 0:00:00,822
2018-06-01 0:00:00,672
2018-06-02 0:00:00,73
2018-06-03 0:00:00,111
2018-06-04 0:00:00,1008
2018-06-05 0:00:00,1944
2018-06-06 0:00:00,1519
2018-06-07 0:00:00,1871
2018-06-08 0:00:00,1608
2018-06-09 0:00:00,142
2018-06-10 0:00:00,146
2018-06-11 0:00:00,1496
2018-06-12 0:00:00,2059
2018-06-13 0:00:00,1958
2018-06-14 0:00:00,2303
2018-06-15 0:00:00,1462
2018-06-16 0:00:00,134
2018-06-17 0:00:00,136
2018-06-18 0:00:00,2552
2018-06-19 0:00:00,2387
2018-06-20 0:00:00,2235
2018-06-21 0:00:00,2106
2018-06-22 0:00:00,1897
2018-06-23 0:00:00,85
2018-06-24 0:00:00,199
2018-06-25 0:00:00,2210
2018-06-26 0:00:00,2889
2018-06-27 0:00:00,2624
2018-06-28 0:00:00,2482
2018-06-29 0:00:00,2839
2018-06-30 0:00:00,67
2018-07-01 0:00:00,155
2018-07-02 0:00:00,1962
