id,avg_price,avg_cpm,zip_code,zip_code_id,lat,lon,size,price,rate_card_price,floor_price,cpm,impressions,supplier_id,supplier_face_id
468328,850.0,12.58,4042,7217,41.43777,-75.6549,"10' 6"" x 22' 9""",850.0,1020.0,,12.58,67568,39,290
107547,400.0,2.05,4012,15252,29.13522,-82.04484,10' x 40',400.0,480.0,,2.05,195304,39,3849
316324,250.0,1.54,4006,39634,34.062725,-118.0529,6' x 12',250.0,300.0,,1.54,162504,39,4484
2065349,460.0,0.28,4022,31588,30.219819,-93.358694,12' x 24',460.0,460.0,,0.28,1626044,799,0308A S/F
430511,1500.0,3.75,4045,12375,34.007264,-81.015278,10' x 40',1500.0,1800.0,,3.75,399972,39,71292
111959,405.0,4.07,4048,34026,31.801207,-95.146876,10' x 24',405.0,486.0,,4.07,99400,39,2509
353039,565.0,16.44,4037,11490,36.06577,-77.82285,"10' 6"" x 22' 9""",565.0,678.0,,16.44,34364,39,713
2065369,100.0,0.61,4022,31590,30.211006,-93.358419,6' x 12',100.0,100.0,,0.61,164752,799,0321A S/F
159440,810.0,8.73,4051,9278,38.08201,-78.86823,"10' 6"" x 22' 9""",810.0,972.0,,8.73,92796,39,3116
307979,1100.0,1.81,4047,16858,35.06996,-90.058225,"26' x 24' 5""",1100.0,1320.0,,1.81,608800,39,71307
66716,675.0,5.41,4039,19430,41.564332,-81.561282,"10' 6"" x 22' 9""",675.0,810.0,,5.41,124712,39,11835
159444,610.0,2.9,4022,31472,30.24277,-92.0068,"10' 6"" x 22' 9""",610.0,732.0,,2.9,210112,39,5073
430554,500.0,2.1,4045,12393,34.066072,-80.955403,10' x 40',500.0,600.0,,2.1,238164,39,71311
345537,3400.0,1.4,4047,16766,35.918297,-84.086708,14' x 48',3400.0,4080.0,,1.4,2434136,39,94029
147758,800.0,5.09,4005,32329,34.72416,-92.2742,"10' 6"" x 22' 9""",800.0,960.0,,5.09,157320,39,80291
2074534,1500.0,4.24,4040,32788,35.87449,-97.39509,14' x 48',1500.0,1500.0,,4.24,353692,492,GBW1001B
161725,950.0,2.28,4012,14993,28.19841,-81.640325,10' x 40',950.0,1140.0,,2.28,417180,39,25091
475837,1500.0,2.52,4001,16098,30.357235,-87.682696,12' x 40',1500.0,1800.0,,2.52,594324,39,90152
360009,1397.0,5.87,4008,36471,40.552416,-105.079977,6' x 12',1397.0,1676.0,,5.87,237880,39,71313
345700,610.0,3.37,4012,14063,30.182209,-84.374919,8' x 24',610.0,732.0,,3.37,180900,39,2294
199578,4500.0,10.51,4032,38929,36.10791,-115.17112,14' x 48',4500.0,5400.0,,10.51,428200,39,635
94744,630.0,1.67,4037,11982,34.14789,-78.09421,12' x 40',630.0,756.0,,1.67,376648,39,4234
108938,250.0,3.09,4040,32851,35.44339,-97.5656,"4' 11"" x 10' 11""",250.0,300.0,,3.09,81032,39,4816
256384,670.0,1.89,4012,14195,30.40181,-86.935915,"10' 6"" x 36'",670.0,804.0,,1.89,354012,39,61261
80088,850.0,11.07,4039,19795,41.24801,-82.58714,"10' 6"" x 22' 9""",850.0,1020.0,,11.07,76756,39,714
486273,450.0,3.79,4037,11880,34.63676,-78.96992,"10' 6"" x 22' 9""",450.0,540.0,,3.79,118712,39,714
392392,450.0,3.66,4051,9928,36.912225,-82.01881,"10' 6"" x 22' 9""",450.0,540.0,,3.66,123068,39,7140
85128,1000.0,16.21,4039,19517,41.02781,-82.05221,"10' 6"" x 22' 9""",1000.0,1200.0,,16.21,61688,39,71400
509605,1000.0,6.72,4056,26099,44.4766,-103.80781,14' x 40',1000.0,1200.0,,6.72,148740,39,3468
106702,1275.0,5.35,4047,16341,36.3881,-86.45153,"10' 6"" x 22' 9""",1275.0,1530.0,,5.35,238392,39,71402
188914,2576.0,1.74,4048,35503,26.22731,-98.17922,10' x 40',2576.0,3091.0,,1.74,1480388,39,48472
